Expediente,Órgano contratante,Tipo organismo,Objeto del contrato,CPV,Importe (€),Estado,Fecha límite,Días restantes,Prioridad,Enlace expediente,Detectada el,Notas del agente,Revisado,Asignado a,Notas comerciales
X2026002222,Ajuntament de Vilassar de Mar,Ayuntamiento,Gestió de nòmines i assessorament,79414000,102333,Abierta,2026-08-05,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20132507,2026-09-17,Detectada por el texto del objeto,,,
CONTR/2026/000000082,Institut d'Assistència Sanitària,Otro organismo público,Manteniment de llicències i consultoria del sistema de RRHH,72210000,111738,Resuelta,2026-07-06,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20132509,2026-09-17,Detectada por el texto del objeto,,,
2026/14992B,Ajuntament de Badalona,Ayuntamiento,Manteniment i suport de l'aplicació EPSILON RH,48450000,50861,Resuelta,2026-05-18,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20132516,2026-09-17,Encaje directo por código CPV,,,
G5038-000014/2026,Consell Comarcal de l'Alt Penedès,Consell comarcal,Servei integral de control horari,35125200,26730,Resuelta,2026-05-21,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19631190,2026-09-17,Encaje directo por código CPV,,,
2575/2025,Ajuntament de Teià,Ayuntamiento,Assessorament laboral i gestió de nòmines,79211110,45455,Abierta,2026-09-07,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20133093,2026-09-17,Detectada por el texto del objeto,,,
B3202026000041,Ajuntament de Malgrat de Mar,Ayuntamiento,Serveis de gestoria,79414000,107016,Resuelta,2026-04-29,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19472640,2026-09-17,Detectada por el texto del objeto,,,
X2026000366,Ajuntament de Campdevànol,Ayuntamiento,Subministrament i manteniment d'un sistema de control horari,35125200,6510,Resuelta,2026-04-29,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19491005,2026-09-17,Encaje directo por código CPV,,,
2026/2431,Ajuntament de Cardedeu,Ayuntamiento,"Software, llicències i manteniment del programa de gestió de nòmines",72212450,63581,Resuelta,2026-04-29,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20133616,2026-09-17,Encaje directo por código CPV,,,
26.002,Fundació pel Foment de la Societat del Coneixement,Fundación,"Gestoria laboral, mercantil, fiscal i comptable",79631000,172800,En evaluación,2026-05-29,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20133619,2026-09-17,Encaje directo por código CPV,,,
2025/9707,Diputació de Girona,Diputación,Software en modalitat SaaS de gestió de personal,48450000,563480,Resuelta,2026-01-21,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/18798545,2026-09-17,Encaje directo por código CPV,,,
EXPT26-00046,Sociedad Andaluza para el Desarrollo de las Telecomunicaciones,Otro organismo público,Acceso a la plataforma de gestión de RRHH en modalidad SaaS,72268000,89107,Resuelta,2026-06-29,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19866109,2026-09-17,Detectada por el texto del objeto,,,
PcPG/2026/828311,Concello de O Porriño,Ayuntamiento,Servicio de gestoría laboral y fiscal,79631000,57471,Resuelta,2026-06-26,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19858441,2026-09-17,Encaje directo por código CPV,,,
PcPG/2026/828606,Corporación de Servizos Audiovisuais de Galicia,Otro organismo público,Mantenimiento de la aplicación de RRHH Epsilon RH,72212450,86790,Resuelta,2026-07-10,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/20018789,2026-09-17,Encaje directo por código CPV,,,
PcPG/2026/827712,Fundación Deporte Galego,Fundación,"Asesoramiento fiscal, laboral y contable",79631000,87911,Resuelta,2026-05-07,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19407598,2026-09-17,Encaje directo por código CPV,,,
PA 2/2026,Fundación Investigación Biomédica,Fundación,Asesoramiento laboral y trabajos socio-laborales,79631000,250461,Resuelta,2026-02-26,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/18938391,2026-09-17,Encaje directo por código CPV,,,
P.A. 62/2023,Hospital Universitario La Paz,Universidad,Soporte técnico y funcional en el servicio de Recursos Humanos,72514300,459000,Resuelta,2024-03-11,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/13969863,2026-09-17,Detectada por el texto del objeto,,,
PNSP 92/2026,"Sumar, serveis públics d'acció social de Catalunya",Otro organismo público,"Manteniment, suport tècnic i consultoria funcional",48219300,600811,Resuelta,2026-05-05,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19983033,2026-09-17,Detectada por el texto del objeto,,,
CONTR 2024 0001142995,Agencia de Medio Ambiente y Agua de Andalucía,Comunidad Autónoma,Implantación de plataforma de gestión de RRHH (AMAYA),35125200,4041394,Resuelta,2025-02-14,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/16347956,2026-09-17,Encaje directo por código CPV,,,
COBS2026/028,Ajuntament de Sant Feliu de Guíxols,Ayuntamiento,Cessió d'ús i manteniment d'un sistema informàtic SaaS,72268000,641938,Abierta,2026-07-30,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19975975,2026-09-17,Detectada por el texto del objeto,,,
81/2026/eAISSA,Organisme Municipal d'Assistència Integral,Otro organismo público,"Gestió de la nòmina, seguretat social i personal",79211110,131578,Resuelta,2026-04-24,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19375360,2026-09-17,Detectada por el texto del objeto,,,
S_2025_009,Fundación para el conocimiento Madri+d,Fundación,"Apoyo a la gestión del Área Económica, RRHH y Administración",79131000,56000,Resuelta,2025-07-24,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/17640599,2026-09-17,Detectada por el texto del objeto,,,
CO 29/2025,SECOMSA,Otro organismo público,Gestoria i assessorament laboral,79631000,328860,Resuelta,2026-05-03,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19386842,2026-09-17,Encaje directo por código CPV,,,
X2025003457,Ajuntament de Sils,Ayuntamiento,Assessorament i gestió administrativa laboral,79414000,47923,Resuelta,2025-11-26,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/18364356,2026-09-17,Detectada por el texto del objeto,,,
CONTR 2023 0000225896,Consorcio de Transporte Metropolitano de Málaga,Consorcio,Gestión laboral de las nóminas y contratos,79211110,16800,Resuelta,2023-05-09,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/12609753,2026-09-17,Detectada por el texto del objeto,,,
6012200180,Metro de Madrid,Empresa pública,Mantenimiento de los sistemas de control de presencia y accesos,72267000,381962,Resuelta,2022-11-11,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/11547918,2026-09-17,Detectada por el texto del objeto,,,
1647/2026,Ajuntament de Vilanova del Vallès,Ayuntamiento,Desenvolupament i implantació d'un portal de l'empleat,72000000,45540,Adjudicada,2026-06-02,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19701084,2026-09-17,Detectada por el texto del objeto,,,
LICIR 26/14,Institut de Recerca Hospital Sant Pau,Sanidad,Serveis relatius a la gestió de personal,79631000,99000,Resuelta,2026-04-01,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19261897,2026-09-17,Encaje directo por código CPV,,,
2026/49,Ajuntament de Guissona,Ayuntamiento,Dispositiu per control horari del personal municipal,30200000,8252,Adjudicada,,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19935064,2026-09-17,Detectada por el texto del objeto,,,
3273,Consorcio de Aguas Bilbao Bizkaia,Consorcio,Renovación del mantenimiento de equipos y software de control horario,42961100,45000,Adjudicada,2026-06-15,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19875939,2026-09-17,Detectada por el texto del objeto,,,
PAS 25-2026,Fundación Investigación Biomédica,Fundación,Servicio de control horario,72268000,46160,Resuelta,2026-03-25,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19192425,2026-09-17,Detectada por el texto del objeto,,,
AP/ESP70/CSUC2218/C3,Universitat Oberta de Catalunya,Universidad,Informació prèvia: adquisició de plataforma de personal,48000000,1935000,Consulta previa,,,Baja,https://contrataciondelestado.es/sindicacion/licitacionesPerfilContratante/19896976,2026-09-17,Detectada por el texto del objeto,,,
